"","summary_stat","mean_stat","se_stat","submodel"
"1","dev.exp",0.626861236785831,0.00225049725579326,"bm1"
"2","mean_R.Sqr",0.658029349585933,0.00337847272505615,"bm1"
"3","mean_R.sqr_test",1.02131737791371,0.101771375045068,"bm1"
"4","mean_residuals",0.00421965041289521,0.000139581893251434,"bm1"
"5","mean_residuals_test",2.11960020540901,0.0750703671301799,"bm1"
"6","rmse",2.66060905866128,0.0756737400704483,"bm1"
"7","dev.exp",0.615827294150948,0.00159932462592437,"bm2"
"8","mean_R.Sqr",0.658439135707923,0.00212972393484523,"bm2"
"9","mean_R.sqr_test",0.939095327625407,0.0586195352361318,"bm2"
"10","mean_residuals",0.00381345402801892,0.000167166036063239,"bm2"
"11","mean_residuals_test",2.08136145626494,0.0829991214407974,"bm2"
"12","rmse",2.60110321696106,0.0783578655706012,"bm2"
"13","dev.exp",0.618769188774541,0.00185512755093168,"bm3"
"14","mean_R.Sqr",0.67535750848001,0.00260062359403714,"bm3"
"15","mean_R.sqr_test",0.826115795341051,0.0437796386771283,"bm3"
"16","mean_residuals",0.00384616816476654,0.000125265872634889,"bm3"
"17","mean_residuals_test",2.02998190884124,0.0763107254960592,"bm3"
"18","rmse",2.52589052054375,0.0603925540149599,"bm3"
"19","dev.exp",0.604793830049869,0.0015146971209367,"bm4"
"20","mean_R.Sqr",0.676790974544134,0.00208774187799588,"bm4"
"21","mean_R.sqr_test",0.815696315142366,0.0517327997592218,"bm4"
"22","mean_residuals",0.0032469338756338,8.76239704307588e-05,"bm4"
"23","mean_residuals_test",2.00323738952312,0.0645912232077269,"bm4"
"24","rmse",2.50541287980549,0.0554868767551304,"bm4"
"25","dev.exp",0.626606423665546,0.00184326426103705,"bm5"
"26","mean_R.Sqr",0.645896526365109,0.00264345155038318,"bm5"
"27","mean_R.sqr_test",1.02436108031417,0.0841220116707846,"bm5"
"28","mean_residuals",0.0051876315710016,5.12125447258193e-05,"bm5"
"29","mean_residuals_test",2.0970408498321,0.0685615531139857,"bm5"
"30","rmse",2.64162142051499,0.0609521126901856,"bm5"
"31","dev.exp",0.619577688956792,0.00174949183351225,"bm6"
"32","mean_R.Sqr",0.644058999257529,0.00206962298149942,"bm6"
"33","mean_R.sqr_test",0.916540922481809,0.0534226587162212,"bm6"
"34","mean_residuals",0.00539754575555072,4.52757742277912e-05,"bm6"
"35","mean_residuals_test",2.05646357716877,0.0979158822031073,"bm6"
"36","rmse",2.57407498980287,0.0864342991252287,"bm6"
"37","dev.exp",0.620206413525643,0.0019416642415569,"bm7"
"38","mean_R.Sqr",0.665124182433289,0.00294224914533087,"bm7"
"39","mean_R.sqr_test",0.808362581695582,0.040669245715072,"bm7"
"40","mean_residuals",0.00517031054998522,7.74456528627949e-05,"bm7"
"41","mean_residuals_test",2.00979520918951,0.0621378328761647,"bm7"
"42","rmse",2.51524639149272,0.0425914879322581,"bm7"
"43","dev.exp",0.611591732444899,0.00198400819743931,"bm8"
"44","mean_R.Sqr",0.661767866509997,0.00228101239197254,"bm8"
"45","mean_R.sqr_test",0.767220930667769,0.0422522928430374,"bm8"
"46","mean_residuals",0.00537864217235051,5.94222224750877e-05,"bm8"
"47","mean_residuals_test",1.9847872093428,0.0632400921858236,"bm8"
"48","rmse",2.4802135587204,0.0622879840950236,"bm8"
