bm_id,Formula
bm1,log_Days_16C+Max_Monthly_Anomaly_Upwelling_Temp+log_Days_10N+log_UBR_Max+mean_depth+mean_prob_of_rock+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP
bm2,log_Days_16C+Max_Monthly_Anomaly_Upwelling_Temp+log_Days_10N+log_UBR_Max+mean_depth+mean_prob_of_rock+log_Mean_Monthly_NPP_Upwelling
bm3,log_Days_16C+Max_Monthly_Anomaly_Upwelling_Temp+log_Days_10N+log_UBR_Max+mean_depth+mean_prob_of_rock+log_Min_Monthly_NPP
bm4,Max_Monthly_Anomaly_Upwelling_Temp+log_Days_10N+log_UBR_Max+mean_depth+mean_prob_of_rock+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP
bm5,Max_Monthly_Anomaly_Upwelling_Temp+log_Days_10N+log_UBR_Max+mean_depth+mean_prob_of_rock+log_Mean_Monthly_NPP_Upwelling
bm6,Max_Monthly_Anomaly_Upwelling_Temp+log_Days_10N+log_UBR_Max+mean_depth+mean_prob_of_rock+log_Min_Monthly_NPP
bm7,log_Days_16C+log_Days_10N+log_UBR_Max+mean_depth+mean_prob_of_rock+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP
bm8,log_Days_16C+log_Days_10N+log_UBR_Max+mean_depth+mean_prob_of_rock+log_Mean_Monthly_NPP_Upwelling
bm9,log_Days_16C+log_Days_10N+log_UBR_Max+mean_depth+mean_prob_of_rock+log_Min_Monthly_NPP
bm10,log_Days_16C+Max_Monthly_Anomaly_Upwelling_Temp+log_Days_10N+log_UBR_Max+mean_depth+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP
bm11,log_Days_16C+Max_Monthly_Anomaly_Upwelling_Temp+log_Days_10N+log_UBR_Max+mean_depth+mean_prob_of_rock+log_Mean_Monthly_NPP_Upwelling
bm12,log_Days_16C+Max_Monthly_Anomaly_Upwelling_Temp+log_Days_10N+log_UBR_Max+mean_depth+mean_prob_of_rock+log_Min_Monthly_NPP
bm13,Max_Monthly_Anomaly_Upwelling_Temp+log_Days_10N+log_UBR_Max+mean_depth+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP
bm14,Max_Monthly_Anomaly_Upwelling_Temp+log_Days_10N+log_UBR_Max+mean_depth+log_Mean_Monthly_NPP_Upwelling
bm15,Max_Monthly_Anomaly_Upwelling_Temp+log_Days_10N+log_UBR_Max+mean_depth+log_Min_Monthly_NPP
bm16,log_Days_16C+log_Days_10N+log_UBR_Max+mean_depth+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP
bm17,log_Days_16C+log_Days_10N+log_UBR_Max+mean_depth+log_Mean_Monthly_NPP_Upwelling
bm18,log_Days_16C+log_Days_10N+log_UBR_Max+mean_depth+log_Min_Monthly_NPP
